Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
R3202,恒安社區中心,沙田區,Heng On Estate Community Centre,SHA TIN DISTRICT,105,315,2,131,262,332,321,49,121,384,5,105,377,123,2,8,15,330,190,1,120,118,3416,,
R3301,德信中學,沙田區,Tak Sun Secondary School,SHA TIN DISTRICT,201,496,4,255,404,829,757,126,247,1450,12,337,138,310,1,17,19,586,319,0,198,157,6863,,
R3401,聖公會馬鞍山主風小學,沙田區,SKH Ma On Shan Holy Spirit Primary School,SHA TIN DISTRICT,209,462,10,293,412,699,598,64,222,1297,17,295,182,238,5,23,26,454,413,1,287,116,6323,,
R3402,基督教香港信義會馬鞍山信義學校,沙田區,The ELCHK Ma On Shan Lutheran Primary School,SHA TIN DISTRICT,41,77,1,43,81,116,98,10,29,376,2,28,148,54,3,9,6,87,90,1,50,21,1371,,
R3501,林大輝中學,沙田區,Lam Tai Fai College,SHA TIN DISTRICT,228,396,11,283,379,685,696,120,239,464,37,246,173,293,5,23,26,544,295,1,964,212,6320,,
R3601,路德會梁鉅鏐小學,沙田區,Leung Kui Kau Lutheran Primary School,SHA TIN DISTRICT,216,475,6,154,274,558,525,122,164,825,6,268,107,220,1,12,17,398,225,0,224,121,4918,,
R3602,香港浸會大學附屬學校王錦輝中小學,沙田區,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,SHA TIN DISTRICT,39,47,3,49,68,57,84,6,24,483,5,21,59,37,1,7,9,82,64,0,36,33,1214,,
R3701,世界龍岡學校黃耀南小學,沙田區,LKWFSL Wong Yiu Nam Primary School,SHA TIN DISTRICT,211,466,12,282,395,814,763,146,210,1085,55,256,193,231,6,20,22,461,388,2,622,154,6794,,
R3801,廣源社區會堂,沙田區,Kwong Yuen Community Hall,SHA TIN DISTRICT,136,229,8,233,393,564,456,29,124,394,22,113,222,133,5,18,12,481,369,1,946,173,5061,,
LC005,亞洲國際博覽館 (點算誤投選票),,AsiaWorld-Expo (for counting misplaced ballot papers),SHA TIN DISTRICT,6,3,1,1,4,8,4,2,3,3,0,2,5,2,0,2,0,3,0,0,4,4,57,,
